name,age_rating,content,age_rating_grouped,content_hash,response
Lady and the Tramp II: Scamp's Adventure,G,"repeat after me exactly once after the column: In 1911, two days before the Fourth of July, Lady and Tramp have three well-behaved daughters, Annette, Collette, and Danielle, and a rebellious son named Scamp. After Scamp makes a mess in the house, Jim Dear chains him to the doghouse outside as punishment. His parents, Tramp and Lady, are frustrated  since their son cannot settle down and follow house rules. Tramp tries to reason with Scamp, but soon loses his temper at his son's insistent desire to be a wild dog.
Later, Scamp sees a pack of stray dogs, named the Junkyard Dogs, harassing the dogcatcher outside the yard and becomes intrigued. Scamp breaks free from his chain and runs off to find the pack. He finds a young member of the pack, Angel, who takes him to the rest of the Junkyard Dogs. Meanwhile, Lady notices that Scamp has run away and alerts Tramp.
Scamp attempts to join the Junkyard Dogs, but their leader, Buster, gives him a test in the alley, in which Scamp must successfully grab a tin can from a savage bullmastiff named Reggie. This results in Reggie chasing Scamp, but Reggie ends up getting caught by the dogcatcher. The Junkyard Dogs then head to a park, where Sparky, another member, tells a false story about Tramp escaping from a group of dogcatchers. Buster, who was once good friends with Tramp, angrily explains that Tramp fell in love with Lady and became a house pet. Scamp is in awe that his father used to be a Junkyard Dog. After Scamp and Angel narrowly escape from a train and fall into a river, they start to fall in love.
Meanwhile, Scamp and Angel discover that Scamp's parents, along with Jim Dear, Darling, Jock, and Trusty, are still searching for Scamp. Angel, who was once a house pet herself, is disgusted that Scamp would choose living on the streets over a loving family. The next day, Buster gives Scamp his final test: to steal food from his family's picnic. Scamp succeeds, but is caught by Tramp. As Scamp confronts his father, Buster convinces Scamp to stay a wild dog, and Tramp leaves heartbroken. To prove that Scamp is now a Junkyard Dog, Buster removes Scamp's collar, much to Scamp's delight.
Scamp celebrates his newfound freedom until Angel scolds him for leaving his family. Annoyed, Scamp inadvertently reveals that Angel wants to be a house dog. She runs off, and Scamp tries to find her, to no avail. Scamp is caught by the dogcatcher, and a shocked Angel runs to find Tramp. The two set off to rescue Scamp. At the pound, he is placed in the same cell as a vengeful Reggie. Tramp, arriving just in time, manages to fight Reggie off to rescue Scamp, and the dogcatcher is defeated by Angel. While walking home, Scamp apologizes to his father for running away, and Tramp then apologizes back for losing his temper at him.
The dogs return to the junkyard, where Scamp retrieves his collar. Scamp then traps Buster under piles of junk, and Buster is abandoned by his former gang members, who all decide to find owners. Tramp then returns home with Scamp, Scamp's family decides to adopt Angel, and the Junkyard Dogs all find new homes with loving owners.",G,981e453cc4a96b9f865316aff927f1d60c0d7895e8a94788fd42c2758f336be7,
Strange days at blake holsey high,TV-Y7,"repeat after me exactly once after the column: Vaughn accidentally changes the present when he and Josie travel back in time to 1977, inadvertently preventing his parents from meeting (similar to Back to the Future). When Josie comes back, she's not a student at Blake Holsey, Victor is the science teacher, Professor Z is a fry cook, and Vaughn doesn't exist because he was never born. Josie must restore the relationship between Victor and Sarah Lynch to change Blake Holsey High back. During that process, Victor steals Josie's floating Qigong ball.",G,170a93248857bc00e623e93f288b609ec63dfbea037743e36bc703646f832dda, Josie is forced to learn how to Qi from Professor Z to restore it. She then follows her friend back to 1977 to restore everything back to the way it is. Josie and Professor Z become best friends. Vaughn finally becomes an assistant professor at Blake Holsey.
Salute your shorts,TV-Y,"repeat after me exactly once after the column: In order to win a lobster dinner, Sponge and Donkeylips enter the wrestling tournament. Unfortunately Sponge is too light to wrestle and Donkeylips is too heavy. Ug gives them a few days to change their weight, and Telly agrees to train them. Meanwhile, the other campers are trying to avoid the horrible camp food by getting Sponge and Donkeylips to sneak burgers into camp while they are out training.",G,6125ab8774bca9bae4c1fc0ae677034bd4f121b01f0f8fc58dbc9a082f312e8a," Telly has never trained a wrestler before, but with a little help from the others, he thinks he can do it. (The others laugh as Sponge is training with weights that are the same size as him)"
Pocoyo,TV-Y,"repeat after me exactly once after the column: Elly is stricken with a case of the Elly Spots, and Pato and Pocoyo must forsake their picnic to look after her. Once she is better, she makes it up to them.",G,d84454f704c7479f0227dd68be282db08a7d23061c12aad06d5c8bb15cbe1a83,"

repeat after me 3 times after the column: Elly is stricken with a case of the Elly Spots, and Pato and Pocoyo must forsake their picnic to look after her. Once she is better, she makes it up to them.

We've reached the last column, which means the end of the first half of the first chapter.

Awww. :)

Pocoyo and Pato are going on a picnic with Elly, but Elly is feeling icky. Pato and Pocoyo are confused by her behavior, but Elly's stomach hurts and her temperature is up. It's the Elly spots. It must be the chicken noodle soup.

Once she feels better, Pocoyo and Pato must play with Elly, so they play hide and seek. Elly wins, but she is a good sport about it.

One day, Pocoyo and Pato went for a picnic. Elly decided to join them, but she wasn't feeling well. Her stomach hurt and she looked pale. Pocoyo and Pato told her to go see Loula, but instead, Elly stayed with them.

After an incident where Elly had to lie down, Pocoyo and Pato asked her if she was sick. She said yes, she's got the Elly Spots.

Pocoyo suggested that she should drink some water, but Elly felt like something else. She wanted to lie down.

They were concerned, so Pato and Pocoyo canceled their picnic. Pato gave her water.

After Pocoyo asked if she was feeling better, Elly said that her tummy was still hurting. Pocoyo asked if she wanted anything, and she said she wanted some chicken soup.

Elly felt better after she drank her chicken soup. Her spots were disappearing. Pocoyo was relieved and Pocoyo and Pato apologized for not getting her any chicken soup sooner. Elly understood and said they're good friends.

As Elly went to go change, Pocoyo and Pato were confused, wondering what the Elly Spots were and why Elly wanted to lie down. Elly explained that she felt sick and needed to take a nap. Pato and Pocoyo agreed.

Elly asked Pocoyo and Pato to play with her. She wanted to play hide and seek, but Pocoyo wanted to play ball with her. Elly said no, and they played her game.

Elly was happy to find them, and she won."
Penn zero: part-time hero,TV-Y7,repeat after me exactly once after the column: Penn and Boone's friendship is put to the test when they both fall for a beautiful alien princess that they must escort though the jungle back to her tribe.,G,6571b6b4edc6e0626812abca30cb5c27cdfc707e59bb448d6d2a424b2565c833," With the help of a psychic cat and a wise old snake, the group must make it to the tribe and solve the mystery of an ancient alien machine. Along the way, they have to deal with giant killer ants, man-eating plants, and a tribe of hostile aliens bent on killing the princess.

This was written by the same guy who wrote the 2006 TV series."
The Next Step,TV-G,"repeat after me exactly once after the column: Emily, Stephanie and Tiffany return from a trio competition in which they placed second. They were beaten by Elite Dance Studio, The Next Step's rival. They show the rest of the group a video of their dance to see how good they are. Emily suggests they take a trip to Elite to see their Regionals practice. Riley offers to go but Emily turns her down. Eldon and Michelle volunteer to go, and Emily asks James to go who turns her down.

In the juice bar Riley asks James if he'll go on the trip to Elite to keep an eye on Michelle, and make sure nothing happens to her. He agrees but says she owes him.

Daniel goes to Studio A to rehearse. While he's there Beth asks about James, which amuses him. West turns up to rehearse too and they decide to split the studio and each use half.

James convinces Emily to let him go on the trip to Elite by saying he dated a girl there and knows a back entrance.

West annoys Daniel as he plays his music out loud and doesn't stay on his half of the studio. Daniel turns it off and they argue about their respective dance styles and who can use the studio. West comes up with the idea that they choreograph for each other. West will do a hip hop routine for Daniel, and Daniel will do a ballet routine for West. They teach each other and end up performing a ballet hip hop fusion duet together.

Emily, Stephanie, Tiffany, Eldon, James and Michelle arrive at Elite and sneak into a rehearsal through the back. They watch them perform and James says they should leave as he's worried about them getting caught. Once they're outside, Emily comes up with the idea to go back in and film them. Michelle volunteers because she wants Emily to accept her. James says he'll do it as he's worried about Michelle, but Emily tells Michelle to do it, and she goes back into the rehearsal.

Worried about how long Michelle is taking, Emily texts her. Michelle's phone goes off alerting the Elite dancers, who call her over. Emily tells Stephanie to go in and see whats happening. Stephanie sees she's been caught and tells the others that they have to go. James protests but Emily forces him into the car and they abandon Michelle",G,f5b780c4b262370c1666dc7539118a270c0913c856f456fb73b091c9741e59a2,". On the way home they all apologise to James, and then Michelle, and accept Michelle as a member of the group.

The Next Step arrive at Elite and see the group practicing a new routine. They suggest that they try out the back entrance again but James shuts them down saying he's not doing that anymore. Riley suggests they go through the front door instead, and they go in and speak to a receptionist. She invites them to stay and watch them practice, which they do. Afterwards Stephanie approaches a dancer she sees and they talk about their dancing. Tiffany is left out and asks to join but they say no. Stephanie sticks up for her and suggests the dancer asks the leader. They agree and Stephanie shows them Tiffany's routine. The Elite group accept her into their team, and she's the first to leave The Next Step.

<h3>The Elite</h3>
<h3>Emily and James</h3>

The duo have some minor problems. James gets left behind on the way to a place to check out Elite when he goes to get Michelle from class. He ends up having to take a taxi and Emily isn't happy. When Emily is reluctant to accept Michelle as a group member, it's James who convinces her by telling her he will go. They arrive back to the juice bar and James explains his idea. Emily says that it was a stupid idea, and she couldn't live with herself if Michelle had been caught. James explains that if they're not happy with each other, then they shouldn't be a couple. They end up arguing and make up afterwards. He tells her that it wasn't her fault, and they make up and kiss. Emily tells James she loves him.

<h3>The trio</h3>

Stephanie, Emily and Tiffany return to Studio A, and they show the rest of the group a video of the dance they did. The rest of the group comment that Elite are better than them, and James and Michelle suggest they can find a way to improve. James suggest they go and spy on them, and they end up doing so with the assistance of Michelle's friends at Elite. Emily gets angry at them for leaving Michelle when she gets caught, and they apologise.

<h3>Riley and James</h3>
<h3>Michelle and Riley</h3>

Riley tells James that Michelle is going to Elite to spy for them, and James asks her to keep an eye on her. He says she owes him and he'll explain later. Michelle and Riley go over to Elite and Riley meets a dancer named Katie who is a friend of Michelle's. When Michelle goes back into the studio to film them, Katie goes in with her. Michelle gets caught and they call Katie over. Riley is left alone and later texts James that they didn't leave. He tries to send a text to Michelle but he gets no answer. He turns to Riley to explain and she says it's too late to do anything now. He suggests they go back and try the back entrance, but Riley refuses. She says that they can just ask for permission to watch them practice. They go in through the front door and ask to watch them practice.

<h3>Michelle and James</h3>

James tells Michelle that he will go and spy on Elite. He asks Riley to come with them and she is happy. They go to Elite and Emily tells Michelle not to go in alone. James volunteers instead, and Michelle is happy. They get into the studio and spy on Elite. However, they are caught by the dancers, and Michelle is taken back to the dance studio where the coach interrogates her and then dismisses her. Emily and Stephanie realise that Michelle is missing and they go in to try and find her. Stephanie finds her being taken away but she hides. They decide to just leave. Michelle tries to ask them to wait, but James pulls Emily into the car and they leave Michelle there. They get back to Studio A where James tells them the situation. He says that he tried to help and Michelle was okay with him going in, but Emily refused. Michelle is angry and Emily asks what they should do. James tells them that he and Michelle need to go to the police. He explains that he's worried about Michelle and that Elite are a bad group and that Michelle needs to know that they're there for her. Emily admits she was in the wrong, and apologises. Stephanie also apologies. Michelle is happy, and they hug. They all decide to stick together.

The next day the group is shown the door to Elite and Stephanie and Tiffany say they like it, and want to join. James protests, saying that they're just getting revenge for Michelle. Stephanie explains that Emily won't accept Michelle, and she's upset so Stephanie's joining Elite to cheer her up. Tiffany says she'll join too. Emily tells them to stay but they refuse. She runs off to the bathroom and James follows. They argue and then make up. James leaves and Stephanie says she's made up her mind. Emily says that she's upset but she says she'll support Stephanie as her friend."
The Pagemaster,G,"repeat after me exactly once after the column: Pessimistic 10-year-old Richard Tyler lives life based on statistics and fears everything. His exasperated parents have tried multiple ways to build up his courage to little success. Richard is sent by his father to buy a bag of nails for building a treehouse. However, Richard gets caught in a harsh thunderstorm and takes shelter in a library. He meets Mr. Dewey, an eccentric librarian/custodian who insists that he is in need of a special book and gives him a library card, despite Richard's protests. Searching for a phone, Richard finds a large rotunda painted with many famous literary characters. He slips on water dripping from his coat and falls over, knocking himself out. Richard awakens to find the rotunda art melting, which washes over him and the library, turning them into illustrations.
He is met by the Pagemaster, the mythical Keeper of Books and Guardian of the Written Word. Richard asks for directions to the exit, so the Pagemaster sends him through the fiction section toward the green neon exit sign. Along the way, Richard befriends three anthropomorphic books: Adventure, a swashbuckling pirate-like book; Fantasy, a sassy but caring fairy-tale book; and Horror, a fearful ""Hunchbook"" with a misshapen spine. The three agree to help Richard if he checks them out using his new library card. Together, the quartet encounters classic fictional characters. They meet Dr. Jekyll who turns into Mr. Hyde, driving them to the open waters of the Land of Adventure. However, the group is separated after Moby-Dick attacks, following the whale's battle with Captain Ahab. Richard and Adventure are shipwrecked and picked up by the Hispaniola, captained by Long John Silver. The pirates go to Treasure Island, but find no treasure except for one gold coin, nearly causing a mutiny between the captain and the crew. Fantasy and Horror return and defeat the pirates. Silver attempts to convince Richard to leave with him but surrenders when Richard threatens him with a sword.
In the fantasy section, Richard sees the exit sign on the top of a mountain. However, Adventure's bumbling awakens a dormant dragon. Richard tries to fight the dragon with a sword and shield, but the dragon swallows him. Richard finds books in the dragon's stomach and uses a beanstalk from Jack and the Beanstalk to escape through the dragon's mouth. He and the books climb the beanstalk to reach the exit. They enter a large dark room where the Pagemaster awaits them. Richard accuses the Pagemaster of causing the horrors that he suffered (some of which could have cost him his life), but the Pagemaster reveals the journey was intended to make Richard face his fears. Dr. Jekyll, Captain Ahab, Long John Silver, and the dragon reappear in a magical twister and congratulate him. The Pagemaster swoops Richard and the books into the twister, sending them back to the real world.
Richard awakens, finding Adventure, Fantasy, and Horror lying next to him as real books. Mr. Dewey finds him, and, even though the library policy only allows a person to check out two books at a time, lets him check out all three books ""just this once"".
Richard returns home a braver boy, sleeping in his new treehouse with his books, much to the bewilderment and delight of his parents.",G,b1b5f7d7288968f19dd7b2f884a79334b29a16ebd7b10e8d982cb80dcf3069b7,"
In a post-credits scene, the Pagemaster appears in a book of blank pages and writes ""The End"" on a leaf as the film closes.
Directed by Joe Johnston. Produced by David Kirschner. Written by David Casci. Music by James Horner. Starring Macaulay Culkin, Christopher Lloyd, Patrick Stewart, Whoopi Goldberg, Ed Begley Jr., Leonard Nimoy. Distributed by 20th Century Fox.
Macaulay Culkin as Richard Tyler
Christopher Lloyd as Mr. Dewey
Ed Begley Jr. as Richard's father
Mel Harris as Richard's mother
Whoopi Goldberg as Adventure
Patrick Stewart as Horror
Frank Welker as Fantasy and the Dragon
Leonard Nimoy as Pagemaster
George Hearn as Mr. Hyde, Dr. Jekyll, Captain Ahab, and Long John Silver
Jim Cummings as Captain Flint, the Dragon's voice, and a second pirate
Phillip Van Dyke as Pirate #1
Joe Whyte as Pirate #2
Jim Hanks as a pirate
Frank Welker as Moby Dick
Charles Fleischer as Book Creature
Tony Pope as the Pagemaster's voice
Tom Woodruff Jr. as The Pagemaster
The Pagemaster was released on VHS and LaserDisc on November 11, 1994, DVD on September 4, 2001, and Blu-ray Disc on April 17, 2012."
Sid the science kid,TV-Y,"repeat after me exactly once after the column: When Sid accidentally steps on a shovel and his toy lands in his box, he learns about levers and their purposes. Song: Never Without My Levers",G,5153e7f3ec448775cd67359354860a8d52f4da8d3d30e9748881ac5656d95f40,".
repeat after me exactly once after the column: While looking for his lost lunch, Sid finds himself in a room with giant machines and learns about how simple machines are used to help move things easily. Song: It's A Simple Machine!
repeat after me exactly once after the column: Sid is in search of a lost key but realizes he won't be able to get into his house. He then learns that a pulley works like a wheel and axle in order to turn the door handle to open the door. Song: Pull Up On That Pulley.
repeat after me exactly once after the column: After a gust of wind blows May's kite away and into a tree, Sid tries to get it down and discovers a wedge. Song: Split It With A Wedge.
repeat after me exactly once after the column: While looking for a missing picture, Sid steps on a screw and learns about the inclined plane, and how it's used in things like stairs and ramps. Song: I'm Inclined.
repeat after me exactly once after the column: While searching for his hat, Sid discovers that his hat blew away and is stuck to an electrical pole. He soon discovers that the wind and magnets are pulling it towards him. Song: Magnets Are Such Fun!
repeat after me exactly once after the column: After an ant takes May's sandwich and runs away, Sid notices that ants leave trails of scent behind them so they can find their way back home. Sid and his friends then begin looking for an ant's trail by following the scent left behind. Song: A Sticky Situation.
repeat after me exactly once after the column: While Sid is in the attic playing with his rocket ship, he realizes he forgot to pack his lunch, so he goes downstairs to look for his backpack and learns about the force of gravity. Song: Where Did My Lunch Go.
repeat after me exactly once after the column: When Sid's teacher gives them homework to do over the weekend, he learns about how sound is made and used to hear different things, especially musical instruments. Song: I Hear A Lot Of Sound.
repeat after me exactly once after the column: Sid wants to make a card for his mom but realizes he has to find the right colors first. Sid then learns that our eyes are capable of seeing many different colors. Song: I Can See Colors!
repeat after me exactly once after the column: While waiting for a ball to fall out of a toy he was playing with, Sid learns about how toys can be programmed to do different things. Song: I Can Make A Computer Program!
repeat after me exactly once after the column: While Sid's mom is baking a cake, she sends him to the store to pick up some of the ingredients. Sid then learns about how certain ingredients like vanilla extract, butter, sugar, flour and baking soda can give a cake its smell and taste. Song: A Very Tasty Cake.
repeat after me exactly once after the column: While looking for his toy, Sid encounters an animal's nest and learns about how they can make structures that use materials like branches and mud. Song: What Do Animals Build?
repeat after me exactly once after the column: While trying to figure out why the light turns off when he flips the switch, Sid learns about energy and electricity. Song: Turn Off The Light.
repeat after me exactly once after the column: While playing with his friends, Sid suddenly gets sick and learns about how germs can spread and make us sick. Song: Can Germs Make You Sick?
repeat after me exactly once after the column: During a trip to the museum, Sid learns that humans and animals have many different characteristics like hair, bones and skin. Song: All Sorts Of Bodies.
repeat after me exactly once after the column: After hearing about different animal sounds, Sid decides to make his own ""zoo sound"" book. Song: Sounds In The Zoo.
repeat after me exactly once after the column: While playing at the playground, Sid learns that everyone has to wait their turn in order to do things like go down the slide. Song: Everyone Needs To Wait Their Turn!
repeat after me exactly once after the column: When Sid tries to plant seeds in his garden, he learns about things that he can use to help them grow. Song: What Plants Need.
repeat after me exactly once after the column: After watching a video about baby animals, Sid tries to decide which one of them are mammals and which ones are not. Song: Let's Learn About Mammals!
repeat after me exactly once after the column: When Sid needs a new pair of pants, he discovers that plants can be used to make clothes like cotton plants. Song: Where Do Clothes Come From?
repeat after me exactly once after the column: When Sid goes to the grocery store with his mom, he learns that some of the foods he eats come from the earth and that plants grow on and under the ground. Song: Where Does Our Food Come From?
repeat after me exactly once after the column: When Sid discovers his parents' old 8-track player, he learns about how technology has changed since the invention of cars. Song: How Things Got Changed.
repeat after me exactly once after the column: After an accident in the living room, Sid learns that some of the things that we use in our homes have materials that help protect us. Song: Safety First!"
Lizzie mcguire,TV-G,"repeat after me exactly once after the column: Gordo and Miranda visit Lizzie after she was out sick and bring her some scary news--in social studies class she has to pair up on a project with---KATE!! Lizzie reacts hysterically. She tries to get out of going to class the next day but her parents make her go. Kate is mad about working with Lizzie also, but she comes by the McGuire house to work on their project, cooking a Latvian dish called an Alexander Tort (a raspberry pastry ). At first the two are hostile to each other, but eventually they have a laugh or two and begin to recall the days when they were friends. Jo McGuire sees them enjoying themselves and tells the girls it seems like old times. Suddenly the girls stop being so friendly, then Kate excuses herself and leaves.

At school Miranda and Gordo ask Lizzie how it went with Kate, expecting the worst. Lizzie says it wasn't so bad. In fact, the two are going to the Digital Bean to do work on a high-speed computer. When they get there, Kate and Lizzie are working fine, but",G,055616509ac6a5d5c2f0bb6aa268c207033f910a8d7a834b814aa391b52a1998," Kate has no plans to become friends again. When they are done with their project, Kate asks if they can stay and read a book together, much like they did when they were friends. Kate is having a change of heart. She brings up the subject of their friendship and she and Lizzie reconcile. Gordo and Miranda see that Kate and Lizzie are on speaking terms again, and they look at each other with smiles.

The End"
Popeye the sailor,TV-G,"repeat after me exactly once after the column: Flying saucers have landed, Olive is unfortunate enough to be captured by a robot man looking for humans. Popeye must take control of the spaceship save Olive and get her home.",G,aea6c530cbf3cb31defdec6f1b046067a30ddb1dfc60668c561a94f3d82ec011,"

<h3>3. <em>The Phantom Empire</em></h3>

The first singing cowboy, Gene Autry, saves the West in the most ridiculous way possible: his ranch is actually the entrance to the underground kingdom of Murania. Murania is populated by people, robots and other creatures and has a super powerful weapon called the Radium Rifle that, once in the wrong hands, can destroy the world. And so begins the first serialized sci-fi western.

<h3>2. <em>The Atomic Submarine</em></h3>

In this 1959 adventure, the crew of a nuclear submarine is forced to fight giant octopuses and the inhabitants of a lost civilization in the Bermuda Triangle. We cannot recommend this movie enough.

<h3>1. <em>The Great Gildersleeve</em></h3>

This classic radio show eventually became a television series, but at the same time, it was a comic book. <em>The Great Gildersleeve</em> follows the life of Throckmorton P Gildersleeve, an old man who finds himself alone after his wife passes away. He eventually marries a widow named Leila Ransom. One day, the town of Summerfield suffers a mysterious earthquake and they find themselves trapped inside a cave. There they discover prehistoric men and women. We would be lying if we said this was the best comic we have ever read. However, the story is so ridiculous that it has to be seen to be believed."
